time_start,precipitation
"Jun 21, 1987",63.362
"Jun 26, 1987",62.954
"Jul 1, 1987",71.228
"Jul 6, 1987",71.219
"Jul 11, 1987",70.259
"Jul 16, 1987",87.253
"Jul 21, 1987",107.562
"Jul 26, 1987",91.556
"Aug 1, 1987",156.129
"Aug 6, 1987",168.836
"Aug 11, 1987",72.638
"Aug 16, 1987",79.095
"Aug 21, 1987",70.065
"Aug 26, 1987",116.006
"Sep 1, 1987",68.545
"Sep 6, 1987",97.429
"Sep 11, 1987",87.405
"Sep 16, 1987",93.738
"Sep 21, 1987",52.778
"Sep 26, 1987",102.578
"Oct 1, 1987",39.757
"Oct 6, 1987",37.397
"Oct 11, 1987",64.546
"Oct 16, 1987",47.481
"Oct 21, 1987",37.051
"Oct 26, 1987",43.215
"Nov 1, 1987",9.642
"Nov 6, 1987",12.665
"Nov 11, 1987",36.31
"Nov 16, 1987",22.371
"Nov 21, 1987",7.968
"Nov 26, 1987",21.309
"Dec 1, 1987",11.895
"Dec 6, 1987",7.907
"Dec 11, 1987",1.884
"Dec 16, 1987",1.233
"Dec 21, 1987",1.93
"Dec 26, 1987",2.332
"Jan 1, 1988",0.714
"Jan 6, 1988",0.821
"Jan 11, 1988",0.357
"Jan 16, 1988",0.753
"Jan 21, 1988",0.668
"Jan 26, 1988",0.955
"Feb 1, 1988",1.277
"Feb 6, 1988",1.141
"Feb 11, 1988",1.174
"Feb 16, 1988",1.438
"Feb 21, 1988",8.758
"Feb 26, 1988",2.392
"Mar 1, 1988",7.764
"Mar 6, 1988",3.126
"Mar 11, 1988",2.092
"Mar 16, 1988",8.781
"Mar 21, 1988",2.148
"Mar 26, 1988",5.749
"Apr 1, 1988",7.895
"Apr 6, 1988",4.267
"Apr 11, 1988",18.414
"Apr 16, 1988",8.453
"Apr 21, 1988",9.903
"Apr 26, 1988",31.329
"May 1, 1988",18.291
"May 6, 1988",15.104
"May 11, 1988",43.2
"May 16, 1988",17.308
"May 21, 1988",31.257
"May 26, 1988",46.085
"Jun 1, 1988",57.693
"Jun 6, 1988",46.872
"Jun 11, 1988",49.002
"Jun 16, 1988",64.887
"Jun 21, 1988",75.797
"Jun 26, 1988",47.196
"Jul 1, 1988",120.274
"Jul 6, 1988",108.533
"Jul 11, 1988",83.6
"Jul 16, 1988",66.316
"Jul 21, 1988",111.929
"Jul 26, 1988",137.514
"Aug 1, 1988",92.8
"Aug 6, 1988",82.095
"Aug 11, 1988",101.419
"Aug 16, 1988",110.881
"Aug 21, 1988",74.94
"Aug 26, 1988",180.493
"Sep 1, 1988",78.294
"Sep 6, 1988",50.86
"Sep 11, 1988",74.656
"Sep 16, 1988",90.124
"Sep 21, 1988",51.393
"Sep 26, 1988",94.024
"Oct 1, 1988",36.007
"Oct 6, 1988",31.599
"Oct 11, 1988",38.198
"Oct 16, 1988",48.782
"Oct 21, 1988",39.171
"Oct 26, 1988",44.295
"Nov 1, 1988",20.961
"Nov 6, 1988",13.64
"Nov 11, 1988",33.117
"Nov 16, 1988",16.755
"Nov 21, 1988",3.194
"Nov 26, 1988",11.186
"Dec 1, 1988",1.722
"Dec 6, 1988",3.568
"Dec 11, 1988",1.514
"Dec 16, 1988",1.404
"Dec 21, 1988",1.429
"Dec 26, 1988",1.472
"Jan 1, 1989",1.408
"Jan 6, 1989",1.191
"Jan 11, 1989",0.85
"Jan 16, 1989",0.799
"Jan 21, 1989",0.869
"Jan 26, 1989",1.172
"Feb 1, 1989",1.256
"Feb 6, 1989",2.112
"Feb 11, 1989",5.275
"Feb 16, 1989",2.414
"Feb 21, 1989",2.279
"Feb 26, 1989",1.057
"Mar 1, 1989",19.314
"Mar 6, 1989",6.326
"Mar 11, 1989",10.237
"Mar 16, 1989",11.324
"Mar 21, 1989",8.694
"Mar 26, 1989",9.97
"Apr 1, 1989",16.802
"Apr 6, 1989",29.564
"Apr 11, 1989",8.087
"Apr 16, 1989",15.291
"Apr 21, 1989",3.584
"Apr 26, 1989",14.129
"May 1, 1989",25.558
"May 6, 1989",39.458
"May 11, 1989",47.413
"May 16, 1989",23.24
"May 21, 1989",32.681
"May 26, 1989",63.855
"Jun 1, 1989",49.81
"Jun 6, 1989",42.729
"Jun 11, 1989",68.478
"Jun 16, 1989",45.994
"Jun 21, 1989",49.121
"Jun 26, 1989",124.923
"Jul 1, 1989",62.513
"Jul 6, 1989",114.917
"Jul 11, 1989",80.476
"Jul 16, 1989",55.184
"Jul 21, 1989",56.3
"Jul 26, 1989",134.256
"Aug 1, 1989",88.431
"Aug 6, 1989",86.458
"Aug 11, 1989",92.246
"Aug 16, 1989",107.675
"Aug 21, 1989",93.11
"Aug 26, 1989",245.476
"Sep 1, 1989",73.586
"Sep 6, 1989",101.37
"Sep 11, 1989",81.05
"Sep 16, 1989",37.717
"Sep 21, 1989",52.062
"Sep 26, 1989",101.519
"Oct 1, 1989",62.083
"Oct 6, 1989",58.472
"Oct 11, 1989",66.165
"Oct 16, 1989",52.146
"Oct 21, 1989",64.603
"Oct 26, 1989",45.939
"Nov 1, 1989",35.156
"Nov 6, 1989",19.193
"Nov 11, 1989",26.526
"Nov 16, 1989",24.415
"Nov 21, 1989",48.448
"Nov 26, 1989",8.727
"Dec 1, 1989",5.605
"Dec 6, 1989",12.238
"Dec 11, 1989",2.994
"Dec 16, 1989",6.039
"Dec 21, 1989",1.253
"Dec 26, 1989",4.03
"Jan 1, 1990",1.005
"Jan 6, 1990",0.772
"Jan 11, 1990",0.938
"Jan 16, 1990",0.699
"Jan 21, 1990",0.957
"Jan 26, 1990",0.872
"Feb 1, 1990",1.043
"Feb 6, 1990",1.448
"Feb 11, 1990",1.307
"Feb 16, 1990",1.58
"Feb 21, 1990",2.529
"Feb 26, 1990",1.533
"Mar 1, 1990",2.661
"Mar 6, 1990",9.985
"Mar 11, 1990",6.31
"Mar 16, 1990",2.03
"Mar 21, 1990",1.829
"Mar 26, 1990",3.701
"Apr 1, 1990",11.005
"Apr 6, 1990",19.403
"Apr 11, 1990",8.627
"Apr 16, 1990",10.453
"Apr 21, 1990",13.925
"Apr 26, 1990",14.352
"May 1, 1990",42.748
"May 6, 1990",25.818
"May 11, 1990",24.834
"May 16, 1990",27.285
"May 21, 1990",49.146
"May 26, 1990",31.565
"Jun 1, 1990",34.71
"Jun 6, 1990",30.716
"Jun 11, 1990",45.04
"Jun 16, 1990",83.383
"Jun 21, 1990",55.764
"Jun 26, 1990",45.997
"Jul 1, 1990",53.121
"Jul 6, 1990",90.672
"Jul 11, 1990",55.999
"Jul 16, 1990",68.218
"Jul 21, 1990",56.124
"Jul 26, 1990",106.852
"Aug 1, 1990",86.075
"Aug 6, 1990",79.354
"Aug 11, 1990",58.218
"Aug 16, 1990",116.865
"Aug 21, 1990",119.728
"Aug 26, 1990",125.722
"Sep 1, 1990",87.672
"Sep 6, 1990",78.314
"Sep 11, 1990",90.28
"Sep 16, 1990",73.846
"Sep 21, 1990",64.968
"Sep 26, 1990",80.252
"Oct 1, 1990",61.342
"Oct 6, 1990",52.159
"Oct 11, 1990",73.271
"Oct 16, 1990",24.504
"Oct 21, 1990",38.318
"Oct 26, 1990",68.475
"Nov 1, 1990",41.202
"Nov 6, 1990",14.112
"Nov 11, 1990",35.894
"Nov 16, 1990",22.05
"Nov 21, 1990",21.16
"Nov 26, 1990",21.305
"Dec 1, 1990",11.395
"Dec 6, 1990",2.801
"Dec 11, 1990",11.075
"Dec 16, 1990",8.341
"Dec 21, 1990",5.703
"Dec 26, 1990",2.17
"Jan 1, 1991",1.084
"Jan 6, 1991",1.036
"Jan 11, 1991",0.679
"Jan 16, 1991",0.686
"Jan 21, 1991",1.382
"Jan 26, 1991",1.302
"Feb 1, 1991",2.189
"Feb 6, 1991",0.974
"Feb 11, 1991",3.011
"Feb 16, 1991",1.365
"Feb 21, 1991",1.299
"Feb 26, 1991",0.695
"Mar 1, 1991",4.394
"Mar 6, 1991",5.717
"Mar 11, 1991",5.434
"Mar 16, 1991",2.238
"Mar 21, 1991",5.097
"Mar 26, 1991",11.494
"Apr 1, 1991",11.424
"Apr 6, 1991",3.808
"Apr 11, 1991",6.43
"Apr 16, 1991",14.406
"Apr 21, 1991",16.106
"Apr 26, 1991",12.687
"May 1, 1991",17.778
"May 6, 1991",14.603
"May 11, 1991",19.713
"May 16, 1991",37.202
"May 21, 1991",34.676
"May 26, 1991",15.623
"Jun 1, 1991",57.254
"Jun 6, 1991",35.387
"Jun 11, 1991",42.656
"Jun 16, 1991",36.531
"Jun 21, 1991",37.571
"Jun 26, 1991",70.363
"Jul 1, 1991",100.405
"Jul 6, 1991",64.228
"Jul 11, 1991",83.853
"Jul 16, 1991",58.575
"Jul 21, 1991",29.773
"Jul 26, 1991",27.936
"Aug 1, 1991",147.262
"Aug 6, 1991",185.949
